,caseid,weight,biden_winner,legit_result,pres_vote,birthyr,age,age9,gender,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,ideo7,educ7,hispanic,ethnicity,votereg,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,wave
870,418339666,0.852188738255582,Definitely not the rightful winner,Not very legitimate,Donald Trump,1992,28,25 - 34,Female,Never married,Part-time,"$60,000 - $69,999",Republican,Not very strong Republican,Did not vote for President,78245,Texas,Moderate; middle of the road,Some college,No,White,Yes,Most of the time,Eastern or Greek Orthodox,Never,No,Not too important,Seldom,13
871,309333316,1.07536363590763,Definitely the rightful winner,Entirely legitimate,Joe Biden,1968,52,45 - 54,Female,Married,Part-time,"$80,000 - $99,999",Independent,Lean Democrat,Hillary Clinton,40504,Kentucky,Moderate; middle of the road,Associate's degree,No,White,Yes,Most of the time,Protestant,Seldom,No,Very important,Several times a day,13
872,62674705,0.964873373635424,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1970,50,45 - 54,Male,Married,Full-time,"$120,000 - $149,999",Republican,Strong Republican,Did not vote for President,80504,Colorado,Somewhat conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,Once or twice a month,No,Somewhat important,A few times a month,13
873,7993786,0.508157946805148,Definitely the rightful winner,Entirely legitimate,Joe Biden,1957,63,55 - 64,Female,Never married,Full-time,"$50,000 - $59,999",Independent,Lean Democrat,Gary Johnson,87801,New Mexico,Moderate; middle of the road,Master's degree,No,White,Yes,Most of the time,Nothing in particular,Seldom,No,Somewhat important,A few times a week,13
874,58647235,0.901991481538691,Definitely the rightful winner,Entirely legitimate,Joe Biden,1946,74,65 - 74,Female,Divorced,Retired,Prefer not to say,Democrat,Not very strong Democrat,Hillary Clinton,37076,Tennessee,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Nothing in particular,Seldom,No,Not too important,A few times a week,13
875,347239300,0.533160654237506,Definitely the rightful winner,Entirely legitimate,Joe Biden,1996,24,18 - 24,Female,Never married,Full-time,"$70,000 - $79,999",Democrat,Strong Democrat,Gary Johnson,21214,Maryland,Very liberal,Bachelor's degree,No,White,Yes,Most of the time,Nothing in particular,A few times a year,No,Not too important,Never,13
876,205812916,0.435015121881475,Definitely the rightful winner,Entirely legitimate,Someone else,1963,57,55 - 64,Male,Married,Retired,"$80,000 - $99,999",Independent,Independent,Gary Johnson,48239,California,Moderate; middle of the road,Associate's degree,No,Other,Yes,Most of the time,Protestant,Seldom,Yes,Not too important,Never,13
877,141214354,1.29801843425129,Probably the rightful winner,Entirely legitimate,Donald Trump,1964,56,55 - 64,Male,Married,Full-time,"$100,000 - $119,999",Independent,Independent,Donald Trump,30115,Georgia,Somewhat conservative,Bachelor's degree,No,White,Yes,Most of the time,Roman Catholic,Once a week,No,Very important,Once a day,13
878,53964094,0.901991481538691,Definitely the rightful winner,Entirely legitimate,Joe Biden,1954,66,65 - 74,Female,Widowed,Retired,"$40,000 - $49,999",Democrat,Not very strong Democrat,Hillary Clinton,70611,Louisiana,Slightly liberal,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,13
879,131449177,1.07445208331095,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1934,86,85 or older,Male,Widowed,Retired,"$20,000 - $29,999",Republican,Strong Republican,Donald Trump,25428,West Virginia,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,13
880,36575824,0.764701157922805,Definitely the rightful winner,Entirely legitimate,,1976,44,35 - 44,Female,Married,Homemaker,Prefer not to say,Independent,Lean Republican,Did not vote for President,28405,North Carolina,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,No,Only now and then,Atheist,Never,No,Not at all important,Never,13
881,175040230,1.2039327269154,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1943,77,75 - 84,Female,Widowed,Retired,"$120,000 - $149,999",Republican,Strong Republican,Donald Trump,21902,Maryland,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,Seldom,No,Very important,A few times a week,13
882,172750327,0.901991481538691,Definitely the rightful winner,Entirely legitimate,Joe Biden,1953,67,65 - 74,Female,Married,Retired,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,40744,Kentucky,Somewhat liberal,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,Seldom,No,Somewhat important,A few times a week,13
883,312022324,1.09130885267063,Definitely the rightful winner,Entirely legitimate,Joe Biden,1964,56,55 - 64,Female,Never married,Permanently disabled,"$40,000 - $49,999",Republican,Not very strong Republican,Hillary Clinton,32707,Florida,Slightly conservative,Master's degree,No,White,Yes,Most of the time,Protestant,Once a week,No,Somewhat important,Several times a day,13
884,131804596,0.941946616546689,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1950,70,65 - 74,Female,Widowed,Retired,"$20,000 - $29,999",Republican,Strong Republican,Donald Trump,45804,Ohio,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,Never,No,Somewhat important,Several times a day,13
885,191668606,0.924246665407341,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1948,72,65 - 74,Female,Widowed,Part-time,"Less than $10,000",Not sure,Not sure,Did not vote for President,29582,South Carolina,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Hardly at all,Protestant,Don't know,Yes,Very important,A few times a week,13
886,222860482,1.05671264404915,Definitely the rightful winner,Entirely legitimate,Joe Biden,1978,42,35 - 44,Female,Married,Retired,Prefer not to say,Democrat,Strong Democrat,Did not vote for President,78130,Texas,Slightly conservative,Bachelor's degree,No,White,Yes,Most of the time,Nothing in particular,Never,No,Not too important,Seldom,13
887,223305568,0.909325413789336,Definitely the rightful winner,Entirely legitimate,Joe Biden,1960,60,55 - 64,Male,Divorced,Full-time,"$120,000 - $149,999",Democrat,Not very strong Democrat,Hillary Clinton,48073,Michigan,Moderate; middle of the road,Professional or doctorate degree,Yes,White,Yes,Most of the time,Nothing in particular,Never,No,Not at all important,Never,13
888,140562901,0.817430828971743,Definitely the rightful winner,Entirely legitimate,Joe Biden,1949,71,65 - 74,Female,Married,Retired,"$50,000 - $59,999",Democrat,Strong Democrat,Hillary Clinton,95076,California,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Protestant,Never,No,Somewhat important,Seldom,13
889,134077609,1.19440650281893,Probably not the rightful winner,Not very legitimate,Donald Trump,1991,29,25 - 34,Female,Divorced,Full-time,"$60,000 - $69,999",Republican,Not very strong Republican,Did not vote for President,34212,Florida,Moderate; middle of the road,High school diploma or the equivalent (GED),Yes,Multi-racial,Yes,Some of the time,Nothing in particular,A few times a year,No,Somewhat important,A few times a week,13
890,67934608,1.00535574455292,Probably the rightful winner,Not very legitimate,Donald Trump,1942,78,75 - 84,Male,Married,Retired,"$70,000 - $79,999",Republican,Strong Republican,Donald Trump,66061,Kansas,Somewhat conservative,Bachelor's degree,No,White,Yes,Most of the time,Roman Catholic,A few times a year,No,Somewhat important,Once a day,13
891,190371448,0.754117404623115,Definitely the rightful winner,Entirely legitimate,Joe Biden,1959,61,55 - 64,Male,Widowed,Unemployed,"$10,000 - $19,999",Democrat,Strong Democrat,Did not vote for President,12308,New York,Very liberal,Some college,No,Black or African American,Yes,Most of the time,Protestant,A few times a year,No,Very important,A few times a month,13
892,132293200,1.30157172955884,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1949,71,65 - 74,Female,Married,Retired,Prefer not to say,Republican,Strong Republican,Donald Trump,29730,South Carolina,Very conservative,Associate's degree,No,White,Yes,Most of the time,Protestant,Once a week,No,Very important,Several times a day,13
893,360803410,0.941946616546689,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1953,67,65 - 74,Female,Married,Retired,"$80,000 - $99,999",Republican,Strong Republican,Donald Trump,66061,Kansas,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,Once a week,No,Very important,Once a day,13
894,401353186,0.838047653496065,Definitely the rightful winner,Entirely legitimate,Joe Biden,1981,39,35 - 44,Female,Divorced,Unemployed,Prefer not to say,Democrat,Not very strong Democrat,Did not vote for President,44112,Ohio,Moderate; middle of the road,Some college,Yes,Black or African American,Yes,Most of the time,Something else,Seldom,Yes,Somewhat important,Several times a day,13
895,159406414,0.805121852651626,Definitely the rightful winner,Entirely legitimate,Joe Biden,1976,44,35 - 44,Female,Married,Full-time,"$80,000 - $99,999",Democrat,Strong Democrat,Hillary Clinton,44134,Ohio,Very liberal,Master's degree,No,White,Yes,Most of the time,Nothing in particular,Never,No,Somewhat important,A few times a week,13
896,407358958,0.913866394699789,Definitely the rightful winner,Somewhat legitimate,Joe Biden,1954,66,65 - 74,Female,Widowed,Retired,"$10,000 - $19,999",Democrat,Strong Democrat,Did not vote for President,91607,California,Moderate; middle of the road,Some college,No,White,Yes,Some of the time,Nothing in particular,Seldom,No,Not at all important,Don't know,13
897,138386803,0.965151925743885,Definitely the rightful winner,Entirely legitimate,Joe Biden,1947,73,65 - 74,Female,Divorced,Retired,"$20,000 - $29,999",Other,Independent,Hillary Clinton,29210-7187,South Carolina,Moderate; middle of the road,Bachelor's degree,No,White,Yes,Most of the time,Roman Catholic,Once a week,No,Very important,Several times a day,13
898,303441622,1.01147119970382,Definitely the rightful winner,Entirely legitimate,Joe Biden,1992,28,25 - 34,Female,Domestic / civil partnership,Homemaker,"$40,000 - $49,999",Democrat,Not very strong Democrat,Did not vote for President,78676,Texas,Slightly conservative,Some college,No,Hispanic/Latino/Chicano/a,Yes,Some of the time,Roman Catholic,Once a week,Yes,Somewhat important,Once a day,13
899,311568850,1.05671264404915,Definitely the rightful winner,Entirely legitimate,,1985,35,35 - 44,Female,Married,Other,"$100,000 - $119,999",Not sure,Not sure,Did not vote for President,34759,Florida,Moderate; middle of the road,Bachelor's degree,No,White,No,Only now and then,Nothing in particular,Don't know,No,Not too important,Once a day,13
900,222856825,1.08423818377985,Definitely the rightful winner,Entirely legitimate,Joe Biden,1991,29,25 - 34,Female,Domestic / civil partnership,Full-time,"$80,000 - $99,999",Democrat,Not very strong Democrat,Did not vote for President,16822,Pennsylvania,Very liberal,Bachelor's degree,No,White,Yes,Most of the time,Nothing in particular,Never,No,Not at all important,Seldom,13
901,57643672,0.924246665407341,Definitely the rightful winner,Entirely legitimate,,1950,70,65 - 74,Female,Married,Unemployed,"$50,000 - $59,999",Democrat,Strong Democrat,Did not vote for President,28792,North Carolina,Somewhat liberal,High school diploma or the equivalent (GED),No,White,No,Most of the time,Nothing in particular,Never,No,Not at all important,Once a day,13
902,171027187,0.897561272833107,Definitely the rightful winner,Entirely legitimate,Joe Biden,1983,37,35 - 44,Male,Married,Full-time,"$120,000 - $149,999",Democrat,Strong Democrat,Hillary Clinton,89148,Nevada,Somewhat liberal,Professional or doctorate degree,Yes,White,Yes,Most of the time,Jewish,Seldom,No,Not at all important,Seldom,13
903,161616721,1.08423818377985,Definitely the rightful winner,Entirely legitimate,Joe Biden,1993,27,25 - 34,Female,Never married,Homemaker,Prefer not to say,Independent,Lean Democrat,Did not vote for President,87121,New Mexico,Somewhat liberal,Bachelor's degree,No,White,Yes,Some of the time,Nothing in particular,Never,No,Not at all important,Never,13
904,56569981,1.09226883191981,Definitely the rightful winner,Entirely legitimate,Joe Biden,1959,61,55 - 64,Male,Married,Retired,"$70,000 - $79,999",Democrat,Strong Democrat,Hillary Clinton,41180,Kentucky,Moderate; middle of the road,Associate's degree,No,White,Yes,Most of the time,Protestant,Seldom,Yes,Somewhat important,Once a day,13
905,6110437,0.900226843927568,Definitely the rightful winner,Entirely legitimate,Joe Biden,1969,51,45 - 54,Female,Married,Full-time,"$200,000 - $249,999",Democrat,Strong Democrat,Hillary Clinton,22315,Virginia,Somewhat liberal,Bachelor's degree,No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,13
906,194370082,0.760133973982566,Definitely the rightful winner,Entirely legitimate,Joe Biden,1992,28,25 - 34,Female,Never married,Part-time,"$40,000 - $49,999",Democrat,Not very strong Democrat,Did not vote for President,3819,New Hampshire,Very liberal,Associate's degree,No,White,Yes,Most of the time,Agnostic,Never,No,Not at all important,Never,13
907,196306102,0.870058207647484,Definitely the rightful winner,Entirely legitimate,Joe Biden,1957,63,55 - 64,Female,Married,Retired,"$30,000 - $39,999",Independent,Lean Democrat,Hillary Clinton,28557,North Carolina,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Nothing in particular,Never,No,Not at all important,Never,13
908,43512850,0.982320691373155,Definitely the rightful winner,Entirely legitimate,Donald Trump,1959,61,55 - 64,Male,Domestic / civil partnership,Retired,"$80,000 - $99,999",Democrat,Not very strong Democrat,Donald Trump,88401,New Mexico,Moderate; middle of the road,Some college,No,Black or African American,Yes,Most of the time,Protestant,Seldom,Yes,Somewhat important,Once a day,13
909,141389188,0.901991481538691,Definitely the rightful winner,Entirely legitimate,Joe Biden,1947,73,65 - 74,Female,Widowed,Retired,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,32218,Florida,Somewhat liberal,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Protestant,Never,No,Not at all important,Seldom,13
910,170228263,0.936599209862715,Definitely not the rightful winner,Not legitimate at all,,1980,40,35 - 44,Male,Never married,Part-time,"$40,000 - $49,999",Independent,Lean Republican,Did not vote for President,44224,Ohio,Somewhat conservative,Bachelor's degree,No,White,Yes,Most of the time,Protestant,Never,Yes,Very important,Once a day,13
911,35665900,1.23254003206547,Probably not the rightful winner,Not very legitimate,Donald Trump,1960,60,55 - 64,Male,Divorced,Full-time,"$30,000 - $39,999",Other,Independent,Donald Trump,52057,Iowa,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,13
912,394743892,0.790173568203333,Probably the rightful winner,Somewhat legitimate,Donald Trump,1986,34,25 - 34,Male,Married,Full-time,"$50,000 - $59,999",Republican,Not very strong Republican,Donald Trump,39525,Mississippi,Slightly conservative,Associate's degree,Yes,Hispanic/Latino/Chicano/a,Yes,Some of the time,Something else,More than once a week,Yes,Very important,Several times a day,13
913,311893144,0.997291541916479,Definitely the rightful winner,Entirely legitimate,Joe Biden,1979,41,35 - 44,Male,Married,Full-time,"$350,000 - $499,999",Democrat,Strong Democrat,Hillary Clinton,78613,Texas,Moderate; middle of the road,Bachelor's degree,No,Asian/Pacific Islander,Yes,Some of the time,Nothing in particular,Never,No,Not at all important,Never,13
914,165928732,0.898816526629646,Definitely the rightful winner,Entirely legitimate,Joe Biden,1985,35,35 - 44,Male,Domestic / civil partnership,Full-time,"$20,000 - $29,999",Independent,Lean Democrat,Did not vote for President,44481,Ohio,Slightly liberal,Some college,No,White,Yes,Most of the time,Protestant,Once a week,No,Very important,Several times a day,13
915,40822162,1.15621922996553,Definitely not the rightful winner,Not very legitimate,Donald Trump,1943,77,75 - 84,Male,Married,Retired,Prefer not to say,Republican,Strong Republican,Donald Trump,86315-7836,Arizona,Somewhat conservative,Professional or doctorate degree,No,White,Yes,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,13
916,341338162,0.468139520579591,Probably not the rightful winner,Not very legitimate,Donald Trump,1982,38,35 - 44,Female,Married,Homemaker,"$80,000 - $99,999",Independent,Lean Republican,Evan McMullin,23666,Virginia,Moderate; middle of the road,Associate's degree,No,White,Yes,Most of the time,Nothing in particular,Seldom,No,Somewhat important,A few times a week,13
917,135361549,1.20157737765251,Probably not the rightful winner,Not legitimate at all,Donald Trump,1962,58,55 - 64,Female,Married,Part-time,"$120,000 - $149,999",Republican,Strong Republican,Donald Trump,19020,South Carolina,Very conservative,Bachelor's degree,No,White,Yes,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,13
918,205389103,0.941639928339999,Definitely the rightful winner,Entirely legitimate,Joe Biden,1972,48,45 - 54,Male,Never married,Full-time,"Less than $10,000",Independent,Lean Democrat,Hillary Clinton,91367,California,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,Never,Yes,Somewhat important,Once a day,13
919,200915449,0.462545463297015,Definitely the rightful winner,Entirely legitimate,Joe Biden,1960,60,55 - 64,Female,Never married,Unemployed,"$10,000 - $19,999",Democrat,Strong Democrat,Jill Stein,6119,Connecticut,Moderate; middle of the road,Bachelor's degree,No,White,Yes,Most of the time,Jewish,A few times a year,No,Somewhat important,Once a day,13
920,344552644,0.972480890667843,Definitely the rightful winner,Entirely legitimate,Joe Biden,1969,51,45 - 54,Male,Divorced,Unemployed,"$120,000 - $149,999",Democrat,Strong Democrat,Hillary Clinton,1890,Massachusetts,Very liberal,Bachelor's degree,No,White,Yes,Most of the time,Roman Catholic,Seldom,No,Not at all important,Seldom,13
921,6631222,1.32839524676283,Probably not the rightful winner,Not legitimate at all,Donald Trump,1956,64,55 - 64,Male,Married,Full-time,Prefer not to say,Independent,Lean Republican,Donald Trump,99224,Washington,Somewhat conservative,Bachelor's degree,No,White,Yes,Most of the time,Protestant,Seldom,No,Somewhat important,Seldom,13
922,167691781,1.23922711776269,Definitely the rightful winner,Entirely legitimate,Joe Biden,1979,41,35 - 44,Female,Divorced,Part-time,"$10,000 - $19,999",Independent,Independent,Donald Trump,23464,Virginia,Moderate; middle of the road,Bachelor's degree,No,Other,Yes,Most of the time,Protestant,A few times a year,No,Somewhat important,Several times a day,13
923,223164205,0.781327738170079,Definitely the rightful winner,Somewhat legitimate,Joe Biden,1985,35,35 - 44,Male,Domestic / civil partnership,Unemployed,"Less than $10,000",Democrat,Not very strong Democrat,Hillary Clinton,4938,Maine,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Only now and then,Atheist,Never,No,Not at all important,Never,13
924,127705450,0.910593603529175,Definitely the rightful winner,Entirely legitimate,Joe Biden,1995,25,25 - 34,Female,Never married,Student,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,60630,District of Columbia,Very liberal,Bachelor's degree,No,Multi-racial,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,13
925,178499512,0.877173681907553,Definitely the rightful winner,Entirely legitimate,Joe Biden,1980,40,35 - 44,Male,Married,Unemployed,"$50,000 - $59,999",Independent,Independent,Hillary Clinton,43068,Ohio,Very liberal,Some college,No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,13
926,206878717,1.21312851176946,Probably not the rightful winner,Not very legitimate,Donald Trump,1967,53,45 - 54,Male,Married,Full-time,"$70,000 - $79,999",Republican,Strong Republican,Donald Trump,72209,Arkansas,Somewhat conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,13
927,181355026,0.908881002372366,Definitely the rightful winner,Entirely legitimate,Joe Biden,1961,59,55 - 64,Male,Married,Full-time,"$40,000 - $49,999",Independent,Independent,Hillary Clinton,78660,Texas,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,Never,No,Very important,Several times a day,13
928,42980047,1.07445208331095,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1949,71,65 - 74,Male,Married,Retired,"$40,000 - $49,999",Republican,Strong Republican,Donald Trump,13421,New York,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Protestant,A few times a year,No,Somewhat important,A few times a month,13
929,160751473,0.924246665407341,Definitely the rightful winner,Entirely legitimate,Someone else,1952,68,65 - 74,Female,Divorced,Permanently disabled,"Less than $10,000",Independent,Independent,Did not vote for President,3244,New Hampshire,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Only now and then,Atheist,Never,No,Not at all important,Never,13
930,211147903,0.666745143406541,Definitely the rightful winner,Entirely legitimate,,1994,26,25 - 34,Female,Married,Homemaker,"Less than $10,000",Not sure,Independent,Did not vote for President,48377,Michigan,Moderate; middle of the road,Some college,No,White,No,Only now and then,Nothing in particular,Never,No,Not at all important,Never,13
931,65626204,0.50147164269493,Probably not the rightful winner,Not very legitimate,Donald Trump,1974,46,45 - 54,Male,Never married,Full-time,"$200,000 - $249,999",Other,Independent,Gary Johnson,85251,Arizona,Somewhat conservative,Bachelor's degree,No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,13
932,159514723,0.666745143406541,Definitely the rightful winner,Entirely legitimate,Joe Biden,2000,20,18 - 24,Female,Never married,Student,"$100,000 - $119,999",Democrat,Strong Democrat,Did not vote for President,46807,Indiana,Very liberal,Some college,No,White,Yes,Some of the time,Roman Catholic,A few times a year,No,Somewhat important,Seldom,13
933,35354041,0.932580050614984,Definitely the rightful winner,Entirely legitimate,Joe Biden,1978,42,35 - 44,Female,Married,Homemaker,"$120,000 - $149,999",Democrat,Not very strong Democrat,Hillary Clinton,90804,California,Somewhat liberal,Master's degree,No,White,Yes,Some of the time,Protestant,Once a week,No,Very important,Once a day,13
934,43477846,0.763037730194384,Definitely the rightful winner,Entirely legitimate,Joe Biden,1975,45,45 - 54,Female,Married,Homemaker,"$20,000 - $29,999",Democrat,Not very strong Democrat,Did not vote for President,77901,Texas,Moderate; middle of the road,High school diploma or the equivalent (GED),No,Black or African American,No,Only now and then,Protestant,Once a week,Yes,Very important,Several times a day,13
935,217172128,1.17080717994794,Probably the rightful winner,Entirely legitimate,,1980,40,35 - 44,Male,Married,Full-time,"$70,000 - $79,999",Republican,Strong Republican,Donald Trump,60605,Illinois,Slightly conservative,Some college,No,White,Yes,Most of the time,Roman Catholic,Once a week,No,Very important,Once a day,13
936,139277659,0.931306174046952,Probably not the rightful winner,Not very legitimate,,1969,51,45 - 54,Male,Never married,Full-time,"$20,000 - $29,999",Not sure,Not sure,Did not vote for President,31087,Georgia,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,No,Only now and then,Nothing in particular,Never,Yes,Somewhat important,A few times a week,13
937,175766494,0.429683550389236,Definitely the rightful winner,Entirely legitimate,Someone else,1992,28,25 - 34,Female,Married,Part-time,"$60,000 - $69,999",Republican,Not very strong Republican,Gary Johnson,6401,Connecticut,Somewhat conservative,Master's degree,No,White,Yes,Some of the time,Protestant,More than once a week,Yes,Very important,Several times a day,13
938,130819729,0.954241340082519,Definitely the rightful winner,Entirely legitimate,Joe Biden,1939,81,75 - 84,Male,Married,Retired,"$50,000 - $59,999",Democrat,Strong Democrat,Hillary Clinton,94947,California,Somewhat liberal,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Nothing in particular,Never,No,Somewhat important,Several times a day,13
939,205392835,1.43036863054146,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1946,74,65 - 74,Female,Widowed,Retired,"$20,000 - $29,999",Republican,Strong Republican,Donald Trump,32244,Florida,Very conservative,High school diploma or the equivalent (GED),No,American Indian or Alaska Native,Yes,Most of the time,Protestant,A few times a year,Yes,Very important,Several times a day,13
940,329684422,0.641876999273389,Probably the rightful winner,Somewhat legitimate,,1952,68,65 - 74,Male,Married,Retired,"$30,000 - $39,999",Independent,Independent,Did not vote for President,71675,Arkansas,Moderate; middle of the road,Some college,No,Black or African American,Yes,Hardly at all,Protestant,Once a week,Yes,Somewhat important,Once a day,13
941,212993392,0.95585458398597,Definitely the rightful winner,Entirely legitimate,Joe Biden,1935,85,85 or older,Male,Never married,Retired,"$50,000 - $59,999",Independent,Lean Democrat,Hillary Clinton,28203,North Carolina,Slightly liberal,Master's degree,No,White,Yes,Most of the time,Nothing in particular,Never,No,Somewhat important,Once a day,13
942,350487886,1.30223242675506,Definitely the rightful winner,Entirely legitimate,Joe Biden,1973,47,45 - 54,Male,Separated,Permanently disabled,"$10,000 - $19,999",Independent,Independent,Did not vote for President,76116,Texas,Moderate; middle of the road,Some college,No,White,Yes,Some of the time,Agnostic,Never,No,Not too important,Seldom,13
943,182790709,1.02905252859837,Definitely the rightful winner,Entirely legitimate,Joe Biden,1980,40,35 - 44,Female,Married,Other,"$150,000 - $199,999",Democrat,Strong Democrat,Hillary Clinton,16844,Pennsylvania,Very liberal,Master's degree,No,White,Yes,Most of the time,Nothing in particular,Never,No,Not at all important,Never,13
944,221447374,1.51875245444804,Definitely the rightful winner,Entirely legitimate,Joe Biden,1961,59,55 - 64,Male,Married,Part-time,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,30906,Georgia,Very liberal,Associate's degree,Yes,Black or African American,Yes,Most of the time,Protestant,Once a week,Yes,Very important,Once a day,13
945,129736627,1.15621922996553,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1942,78,75 - 84,Male,Married,Retired,Prefer not to say,Republican,Not very strong Republican,Donald Trump,80126,Colorado,Very conservative,Master's degree,No,White,Yes,Most of the time,Roman Catholic,Once a week,No,Very important,Once a day,13
946,302944936,0.937845287050488,Definitely the rightful winner,Entirely legitimate,Joe Biden,1992,28,25 - 34,Female,Married,Full-time,"$70,000 - $79,999",Democrat,Not very strong Democrat,Hillary Clinton,90755,California,Moderate; middle of the road,Some college,No,Hispanic/Latino/Chicano/a,Yes,Only now and then,Mormon,Seldom,No,Somewhat important,Once a day,13
947,129762061,1.32839524676283,Probably the rightful winner,Somewhat legitimate,Donald Trump,1967,53,45 - 54,Male,Never married,Part-time,"$40,000 - $49,999",Republican,Strong Republican,Donald Trump,96003,California,Somewhat conservative,Bachelor's degree,No,White,Yes,Most of the time,Protestant,Seldom,Yes,Very important,Once a day,13
948,206124370,0.793829924954227,Definitely the rightful winner,Somewhat legitimate,Joe Biden,1980,40,35 - 44,Male,Domestic / civil partnership,Full-time,"$70,000 - $79,999",Democrat,Strong Democrat,Hillary Clinton,68025,Nebraska,Very liberal,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,13
949,173510170,3.84057006197309,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1964,56,55 - 64,Male,Separated,Permanently disabled,"$30,000 - $39,999",Republican,Strong Republican,Did not vote for President,93550,California,Very conservative,Did not graduate from high school,No,Hispanic/Latino/Chicano/a,Yes,Some of the time,Protestant,Once a week,Yes,Very important,Once a day,13
950,214151944,1.01147119970382,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1996,24,18 - 24,Female,Never married,Part-time,"$20,000 - $29,999",Republican,Not very strong Republican,Did not vote for President,33615,Florida,Moderate; middle of the road,Some college,Yes,Hispanic/Latino/Chicano/a,Yes,Only now and then,Nothing in particular,Never,Yes,Very important,A few times a week,13
951,128526853,1.2039327269154,Probably not the rightful winner,Somewhat legitimate,Donald Trump,1945,75,75 - 84,Female,Widowed,Retired,"$40,000 - $49,999",Republican,Strong Republican,Donald Trump,36360,Alabama,Somewhat conservative,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Protestant,A few times a year,Yes,Very important,A few times a week,13
952,128267749,1.30157172955884,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1947,73,65 - 74,Female,Married,Retired,"$70,000 - $79,999",Republican,Strong Republican,Donald Trump,23693,Virginia,Very conservative,Some college,No,White,Yes,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,13
953,422311900,1.05813052113895,Definitely the rightful winner,Entirely legitimate,Joe Biden,1993,27,25 - 34,Female,Never married,Unemployed,"$50,000 - $59,999",Democrat,Strong Democrat,Hillary Clinton,7030,New Jersey,Somewhat liberal,Bachelor's degree,No,White,Yes,Most of the time,Roman Catholic,Seldom,No,Not too important,Seldom,13
954,33315082,0.666549550694773,Definitely the rightful winner,Entirely legitimate,Joe Biden,1946,74,65 - 74,Male,Married,Full-time,"$120,000 - $149,999",Republican,Not very strong Republican,Hillary Clinton,80127,Colorado,Moderate; middle of the road,Professional or doctorate degree,No,White,Yes,Most of the time,Agnostic,Never,No,Not at all important,Never,13
