caseid,weight,biden_winner,legit_result,pres_vote,birthyr,age,age9,gender,marstat,child18,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,ideo7,educ7,hispanic,ethnicity,votereg,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,wave
205512127,0.948132831089056,Definitely the rightful winner,Entirely legitimate,Joe Biden,1959,61,55 - 64,Female,Divorced,No,Permanently disabled,"$20,000 - $29,999",Democrat,Strong Democrat,Hillary Clinton,73003,Oklahoma,Moderate; middle of the road,Master's degree,No,Black or African American,Yes,Some of the time,Protestant,Once a week,No,Very important,Once a day,14
200433355,1.32047847620784,Definitely the rightful winner,Entirely legitimate,Joe Biden,1992,28,25 - 34,Male,Never married,No,Unemployed,Prefer not to say,Independent,Independent,Did not vote for President,39571,Mississippi,Moderate; middle of the road,High school diploma or the equivalent (GED),No,Black or African American,Yes,Some of the time,Nothing in particular,A few times a year,No,Somewhat important,Several times a day,14
150280888,0.926441435006974,Definitely not the rightful winner,Not legitimate at all,,1962,58,55 - 64,Male,Married,No,Full-time,"$150,000 - $199,999",Republican,Strong Republican,Donald Trump,28301,North Carolina,Very conservative,Bachelor's degree,No,White,Yes,Most of the time,Protestant,Once or twice a month,Yes,Somewhat important,A few times a week,14
393100012,1.13548384883186,Probably not the rightful winner,Not very legitimate,Donald Trump,1966,54,45 - 54,Female,Married,No,Part-time,"$50,000 - $59,999",Independent,Lean Republican,Did not vote for President,33021,Florida,Slightly liberal,Some college,No,White,Yes,Most of the time,Jewish,Seldom,No,Not too important,Once a week,14
177761728,0.830133193184478,Definitely the rightful winner,Entirely legitimate,,1988,32,25 - 34,Female,Married,Yes,Full-time,"$120,000 - $149,999",Republican,Not very strong Republican,Did not vote for President,19335,Pennsylvania,Somewhat conservative,Professional or doctorate degree,No,White,Yes,Some of the time,Protestant,Once a week,No,Very important,A few times a week,14
202803070,1.09948450610624,Definitely the rightful winner,Entirely legitimate,Donald Trump,1957,63,55 - 64,Female,Widowed,No,Retired,"$10,000 - $19,999",Republican,Not very strong Republican,Donald Trump,93305,California,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Nothing in particular,Never,No,Not too important,Seldom,14
187726822,1.16347059368583,Probably not the rightful winner,Somewhat legitimate,Donald Trump,1936,84,75 - 84,Male,Married,No,Retired,"$120,000 - $149,999",Republican,Not very strong Republican,Donald Trump,35674,Alabama,Somewhat conservative,Bachelor's degree,No,White,Yes,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,14
186616282,0.841980564735688,Probably the rightful winner,Not very legitimate,,1963,57,55 - 64,Female,Never married,No,Student,"Less than $10,000",Not sure,Independent,Did not vote for President,89110,Nevada,Somewhat liberal,Associate's degree,No,Black or African American,No,Only now and then,Mormon,Once a week,Yes,Very important,Once a day,14
166299805,0.439101176026592,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1960,60,55 - 64,Male,Separated,No,Full-time,Prefer not to say,Republican,Strong Republican,Other,18014,Pennsylvania,Very conservative,Bachelor's degree,No,White,Yes,Most of the time,Protestant,A few times a year,No,Very important,A few times a week,14
7526371,1.14527798746649,Probably the rightful winner,Somewhat legitimate,Donald Trump,1957,63,55 - 64,Male,Married,No,Full-time,"$80,000 - $99,999",Independent,Lean Republican,Donald Trump,45409,Ohio,Slightly conservative,Professional or doctorate degree,No,White,Yes,Some of the time,Protestant,Seldom,No,Not too important,Seldom,14
128982805,0.744051292307136,Definitely the rightful winner,Entirely legitimate,Joe Biden,1936,84,75 - 84,Male,Married,No,Retired,"$50,000 - $59,999",Democrat,Strong Democrat,Hillary Clinton,1020,Massachusetts,Somewhat liberal,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,A few times a year,No,Very important,Once a day,14
175259350,1.05284520948666,Definitely not the rightful winner,Not legitimate at all,,1949,71,65 - 74,Male,Never married,No,Retired,"$10,000 - $19,999",Republican,Strong Republican,Did not vote for President,33714,Florida,Very conservative,Some college,No,White,No,Most of the time,Protestant,Seldom,Yes,Very important,Several times a day,14
211422103,1.11244255381624,Probably not the rightful winner,Somewhat legitimate,,1975,45,45 - 54,Male,Married,Yes,Full-time,"$40,000 - $49,999",Republican,Strong Republican,Donald Trump,43551,Ohio,Somewhat conservative,Associate's degree,No,White,Yes,Most of the time,Roman Catholic,Once a week,Yes,Very important,A few times a week,14
312276214,0.637350663218598,Definitely the rightful winner,Entirely legitimate,Joe Biden,1951,69,65 - 74,Female,Widowed,No,Retired,"$30,000 - $39,999",Other,Independent,Donald Trump,83204,Idaho,Moderate; middle of the road,Some college,No,White,Yes,Some of the time,Mormon,Seldom,Yes,Very important,Several times a day,14
172618861,1.01710412948422,Definitely the rightful winner,Entirely legitimate,Joe Biden,1990,30,25 - 34,Female,Married,No,Full-time,"$120,000 - $149,999",Democrat,Strong Democrat,Hillary Clinton,97330,Oregon,Very liberal,Master's degree,No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,14
48260872,1.47112386731172,Probably not the rightful winner,Not very legitimate,Donald Trump,1967,53,45 - 54,Male,Married,No,Unemployed,"$80,000 - $99,999",Independent,Lean Republican,Donald Trump,3062,New Hampshire,Very conservative,Some college,No,White,Yes,Most of the time,Roman Catholic,Seldom,No,Somewhat important,A few times a week,14
422311900,0.922843899169195,Definitely the rightful winner,Entirely legitimate,Joe Biden,1993,27,25 - 34,Female,Never married,No,Unemployed,"$50,000 - $59,999",Democrat,Strong Democrat,Hillary Clinton,7030,New Jersey,Somewhat liberal,Bachelor's degree,No,White,Yes,Most of the time,Roman Catholic,Seldom,No,Not too important,Seldom,14
196852744,1.51281651079576,Definitely the rightful winner,Entirely legitimate,,1992,28,25 - 34,Female,Never married,No,Full-time,"Less than $10,000",Democrat,Not very strong Democrat,Did not vote for President,10452,New York,Moderate; middle of the road,Did not graduate from high school,Yes,Hispanic/Latino/Chicano/a,No,Don't know,Roman Catholic,A few times a year,Yes,Not too important,Once a week,14
36656713,1.15071176522289,Probably not the rightful winner,Not very legitimate,Donald Trump,1981,39,35 - 44,Male,Separated,No,Temporarily laid off,"$30,000 - $39,999",Republican,Not very strong Republican,Donald Trump,76548,California,Very conservative,Bachelor's degree,No,White,Yes,Only now and then,Protestant,Once a week,Yes,Very important,Several times a day,14
156269608,0.84312289269994,Definitely the rightful winner,Entirely legitimate,Joe Biden,1951,69,65 - 74,Male,Married,No,Retired,"$120,000 - $149,999",Democrat,Not very strong Democrat,Hillary Clinton,34203,Florida,Moderate; middle of the road,Bachelor's degree,No,White,Yes,Most of the time,Jewish,Seldom,No,Not too important,Once a day,14
218251003,0.770277986801885,Definitely the rightful winner,Entirely legitimate,Joe Biden,1947,73,65 - 74,Female,Divorced,No,Retired,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,93292,California,Very liberal,Master's degree,No,White,Yes,Most of the time,Agnostic,Never,No,Not too important,A few times a week,14
6485986,1.21325782526333,Probably not the rightful winner,Not legitimate at all,Donald Trump,1951,69,65 - 74,Male,Married,No,Retired,"$80,000 - $99,999",Republican,Not very strong Republican,Donald Trump,78737,Texas,Somewhat conservative,Bachelor's degree,No,White,Yes,Most of the time,Protestant,Seldom,No,Somewhat important,Several times a day,14
132110329,0.815341740751855,Definitely the rightful winner,Entirely legitimate,Joe Biden,1958,62,55 - 64,Male,Married,No,Homemaker,"$50,000 - $59,999",Democrat,Not very strong Democrat,Hillary Clinton,33917,Florida,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,A few times a year,Yes,Very important,Once a week,14
399347380,1.01699005615607,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1994,26,25 - 34,Male,Married,No,Full-time,"$120,000 - $149,999",Independent,Independent,Did not vote for President,97124,Oregon,Somewhat liberal,Some college,Yes,Hispanic/Latino/Chicano/a,Yes,Most of the time,Buddhist,Never,No,Not at all important,Seldom,14
165639529,1.12337222510343,Probably not the rightful winner,Not legitimate at all,Donald Trump,1977,43,35 - 44,Female,Married,Yes,Full-time,"$120,000 - $149,999",Republican,Strong Republican,Donald Trump,98942,Washington,Very conservative,Some college,No,White,Yes,Most of the time,Mormon,Once a week,No,Very important,Several times a day,14
413592340,0.676296205105375,Definitely the rightful winner,Entirely legitimate,Joe Biden,1999,21,18 - 24,Male,Never married,No,Student,Prefer not to say,Independent,Independent,Did not vote for President,33146,Florida,Moderate; middle of the road,Some college,No,White,Yes,Some of the time,Jewish,Never,No,Somewhat important,A few times a month,14
207712633,0.31514697099076,Probably not the rightful winner,Not very legitimate,Someone else,1978,42,35 - 44,Male,Never married,No,Temporarily laid off,"$40,000 - $49,999",Independent,Independent,Did not vote for President,2882,Rhode Island,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Agnostic,Never,No,Not at all important,Never,14
174738646,0.930569577844182,Probably the rightful winner,Somewhat legitimate,,1962,58,55 - 64,Female,Married,No,Part-time,"$80,000 - $99,999",Democrat,Not very strong Democrat,Did not vote for President,35405,Alabama,Moderate; middle of the road,Master's degree,No,Black or African American,Yes,Some of the time,Protestant,Seldom,Yes,Very important,A few times a month,14
343572568,0.285188157099266,Definitely the rightful winner,Entirely legitimate,Joe Biden,1968,52,45 - 54,Male,Never married,No,Retired,"$50,000 - $59,999",Independent,Independent,Gary Johnson,32763,Florida,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Only now and then,Roman Catholic,Seldom,No,Somewhat important,Seldom,14
36515902,0.874842046428143,Definitely the rightful winner,Entirely legitimate,Joe Biden,1960,60,55 - 64,Female,Married,No,Permanently disabled,"$10,000 - $19,999",Independent,Lean Democrat,Hillary Clinton,47165,Indiana,Very liberal,Associate's degree,No,White,Yes,Most of the time,Protestant,Once a week,Yes,Very important,Once a day,14
68039080,0.922843899169195,Definitely the rightful winner,Entirely legitimate,Joe Biden,1993,27,25 - 34,Female,Never married,No,Full-time,"$80,000 - $99,999",Other,Independent,Hillary Clinton,93445,California,Very liberal,Bachelor's degree,No,White,Yes,Only now and then,Nothing in particular,Never,No,Not at all important,Never,14
426015772,0.423853200546017,Probably the rightful winner,Not very legitimate,Donald Trump,1954,66,65 - 74,Female,Never married,No,Retired,"$10,000 - $19,999",Republican,Strong Republican,Other,98801,Washington,Slightly conservative,Master's degree,No,White,Yes,Some of the time,Mormon,Once a week,No,Very important,Once a day,14
361714684,1.258239280048,Definitely the rightful winner,Entirely legitimate,Joe Biden,1979,41,35 - 44,Female,Married,Yes,Full-time,"Less than $10,000",Democrat,Strong Democrat,Hillary Clinton,29047,South Carolina,Very liberal,Associate's degree,No,Black or African American,Yes,Most of the time,Nothing in particular,Once or twice a month,No,Very important,Once a day,14
120746188,1.17328061637993,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1966,54,45 - 54,Male,Never married,No,Permanently disabled,"$10,000 - $19,999",Republican,Strong Republican,Donald Trump,11214,New York,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Roman Catholic,A few times a year,Yes,Very important,Several times a day,14
190998922,1.15697661708111,Definitely the rightful winner,Entirely legitimate,Joe Biden,1965,55,55 - 64,Male,Married,No,Retired,"$80,000 - $99,999",Independent,Lean Democrat,Did not vote for President,3032,New Hampshire,Slightly liberal,Some college,Yes,Multi-racial,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,14
204951421,1.22515099950987,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1975,45,45 - 54,Male,Married,Yes,Full-time,"$60,000 - $69,999",Independent,Lean Republican,Donald Trump,46168,Indiana,Very conservative,Bachelor's degree,No,White,Yes,Most of the time,Roman Catholic,Once a week,Yes,Very important,Several times a day,14
173763058,1.06995735153037,Probably the rightful winner,Somewhat legitimate,Donald Trump,1987,33,25 - 34,Female,Married,Yes,Homemaker,"$20,000 - $29,999",Republican,Strong Republican,Did not vote for President,30132,Georgia,Somewhat conservative,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Protestant,A few times a year,Yes,Somewhat important,A few times a month,14
55228198,1.45534495046114,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1952,68,65 - 74,Male,Married,No,Full-time,"$100,000 - $119,999",Independent,Independent,Donald Trump,44012,Ohio,Moderate; middle of the road,Master's degree,No,White,Yes,Most of the time,Eastern or Greek Orthodox,Once a week,No,Very important,Several times a day,14
152626384,0.64615294740632,Definitely the rightful winner,Entirely legitimate,Joe Biden,1989,31,25 - 34,Female,Married,Yes,Full-time,"$60,000 - $69,999",Independent,Independent,Did not vote for President,28601,North Carolina,Somewhat liberal,Some college,No,White,Yes,Most of the time,Protestant,Never,No,Not at all important,A few times a month,14
213849619,1.38355460158978,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1977,43,35 - 44,Male,Married,Yes,Full-time,"Less than $10,000",Not sure,Independent,Did not vote for President,75228,Texas,Moderate; middle of the road,Associate's degree,No,Hispanic/Latino/Chicano/a,Yes,Some of the time,Nothing in particular,Seldom,Yes,Not at all important,Once a day,14
207910582,0.793746723057456,Definitely the rightful winner,Somewhat legitimate,Joe Biden,1992,28,25 - 34,Female,Never married,No,Full-time,"$80,000 - $99,999",Democrat,Strong Democrat,Did not vote for President,78745,Texas,Very liberal,Bachelor's degree,No,White,Yes,Some of the time,Nothing in particular,Never,No,Very important,Never,14
201707119,1.22348763843113,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1963,57,55 - 64,Male,Never married,No,Permanently disabled,"$10,000 - $19,999",Republican,Strong Republican,Donald Trump,84606,Utah,Very conservative,Did not graduate from high school,No,White,Yes,Most of the time,Nothing in particular,Never,No,Not at all important,Don't know,14
219210457,0.797988476756547,Definitely the rightful winner,Entirely legitimate,Joe Biden,1966,54,45 - 54,Male,Married,Yes,Full-time,"$150,000 - $199,999",Democrat,Strong Democrat,Hillary Clinton,91301,California,Somewhat liberal,Bachelor's degree,No,White,Yes,Most of the time,Agnostic,Seldom,No,Not at all important,Seldom,14
187292113,1.12783205342848,Definitely not the rightful winner,Not legitimate at all,,1980,40,35 - 44,Male,Never married,No,Unemployed,"$10,000 - $19,999",Independent,Independent,Did not vote for President,71037,Louisiana,Very conservative,Did not graduate from high school,No,White,No,Some of the time,Protestant,Seldom,Yes,Very important,Seldom,14
183351304,0.909095442065365,Definitely the rightful winner,Entirely legitimate,Joe Biden,1974,46,45 - 54,Female,Never married,No,Permanently disabled,"$10,000 - $19,999",Republican,Not very strong Republican,Hillary Clinton,92102,California,Moderate; middle of the road,Some college,Yes,Hispanic/Latino/Chicano/a,Yes,Most of the time,Protestant,Once a week,Yes,Somewhat important,Several times a day,14
359275306,0.290982577664947,Definitely the rightful winner,Entirely legitimate,Joe Biden,1960,60,55 - 64,Male,Married,No,Full-time,"$50,000 - $59,999",Democrat,Not very strong Democrat,Gary Johnson,15317,Pennsylvania,Moderate; middle of the road,Bachelor's degree,No,White,Yes,Some of the time,Roman Catholic,Once or twice a month,No,Very important,Once a day,14
122388586,0.79124214104544,Definitely the rightful winner,Entirely legitimate,Joe Biden,1956,64,55 - 64,Female,Married,No,Full-time,"$70,000 - $79,999",Democrat,Not very strong Democrat,Hillary Clinton,60631,Illinois,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Hardly at all,Roman Catholic,A few times a year,No,Very important,Once a day,14
141032905,1.13654558051968,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1964,56,55 - 64,Male,Never married,No,Permanently disabled,Prefer not to say,Independent,Lean Republican,Did not vote for President,59601,Montana,Moderate; middle of the road,Associate's degree,No,White,Yes,Some of the time,Roman Catholic,Seldom,No,Somewhat important,Several times a day,14
404340802,0.599050040372031,Definitely the rightful winner,Entirely legitimate,Joe Biden,1982,38,35 - 44,Male,Never married,No,Full-time,"$20,000 - $29,999",Other,Independent,Did not vote for President,93422,California,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Don't know,Nothing in particular,Never,No,Not too important,Seldom,14
56639713,1.45534495046114,Probably not the rightful winner,Somewhat legitimate,Donald Trump,1947,73,65 - 74,Male,Married,No,Retired,"$120,000 - $149,999",Other,Lean Republican,Donald Trump,75044,Texas,Somewhat conservative,Master's degree,No,White,Yes,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,14
60292081,0.770522616396265,Definitely the rightful winner,Entirely legitimate,Joe Biden,1950,70,65 - 74,Male,Married,No,Permanently disabled,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,11226,New York,Moderate; middle of the road,High school diploma or the equivalent (GED),Yes,Hispanic/Latino/Chicano/a,Yes,Most of the time,Roman Catholic,Seldom,No,Very important,Several times a day,14
36647827,0.601461376649451,Probably not the rightful winner,Not very legitimate,Donald Trump,1958,62,55 - 64,Male,Married,No,Retired,Prefer not to say,Independent,Independent,Gary Johnson,57735,South Dakota,Very conservative,Some college,No,Multi-racial,Yes,Most of the time,Protestant,Seldom,Yes,Very important,Once a day,14
33721438,1.06995735153037,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1978,42,35 - 44,Female,Never married,Yes,Full-time,"Less than $10,000",Republican,Not very strong Republican,Did not vote for President,71075,Louisiana,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Something else,Seldom,No,Very important,Once a day,14
150996610,0.860496788765525,Definitely the rightful winner,Entirely legitimate,Joe Biden,1989,31,25 - 34,Male,Never married,No,Unemployed,"$20,000 - $29,999",Democrat,Strong Democrat,Hillary Clinton,81005,Colorado,Very liberal,Some college,No,White,Yes,Most of the time,Something else,Never,No,Not at all important,Never,14
177095590,0.934165534313898,Probably the rightful winner,Somewhat legitimate,Someone else,1991,29,25 - 34,Male,Married,No,Full-time,"$20,000 - $29,999",Independent,Independent,Did not vote for President,93524,California,Somewhat liberal,High school diploma or the equivalent (GED),No,Asian/Pacific Islander,Yes,Some of the time,Agnostic,Never,No,Not at all important,Never,14
178132462,0.761624053209487,Definitely the rightful winner,Entirely legitimate,Joe Biden,1971,49,45 - 54,Male,Divorced,No,Full-time,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,33598,Florida,Moderate; middle of the road,Bachelor's degree,Yes,Hispanic/Latino/Chicano/a,Yes,Most of the time,Roman Catholic,A few times a year,Yes,Somewhat important,A few times a week,14
120006097,1.10838956007955,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1991,29,25 - 34,Female,Never married,No,Part-time,"Less than $10,000",Republican,Strong Republican,Donald Trump,23228,Virginia,Very conservative,Bachelor's degree,No,Black or African American,Yes,Some of the time,Protestant,Once or twice a month,Yes,Very important,Several times a day,14
189232015,0.821966534400363,Definitely the rightful winner,Entirely legitimate,Joe Biden,1974,46,45 - 54,Female,Never married,No,Part-time,"$20,000 - $29,999",Democrat,Strong Democrat,Hillary Clinton,98201,Washington,Very liberal,Master's degree,No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,14
40809652,0.903089519562794,Definitely the rightful winner,Entirely legitimate,Joe Biden,1949,71,65 - 74,Male,Married,No,Retired,"$80,000 - $99,999",Democrat,Strong Democrat,Hillary Clinton,98125,Washington,Somewhat liberal,Master's degree,No,White,Yes,Most of the time,Something else,Once a week,No,Very important,Never,14
209283013,0.64615294740632,Definitely the rightful winner,Entirely legitimate,Joe Biden,1976,44,35 - 44,Female,Never married,No,Full-time,"$20,000 - $29,999",Independent,Lean Democrat,Did not vote for President,3251,New Hampshire,Somewhat liberal,Associate's degree,No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Seldom,14
359256436,0.755228907227073,Definitely the rightful winner,Entirely legitimate,Joe Biden,1958,62,55 - 64,Male,Married,No,Permanently disabled,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,1915,Massachusetts,Somewhat liberal,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,Seldom,No,Very important,Once a day,14
40822162,1.29955008458394,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1943,77,75 - 84,Male,Married,No,Retired,Prefer not to say,Republican,Strong Republican,Donald Trump,86315,Arizona,Somewhat conservative,Professional or doctorate degree,No,White,Yes,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,14
47772139,0.745879893408577,Definitely the rightful winner,Entirely legitimate,Joe Biden,1955,65,65 - 74,Female,Married,No,Full-time,"$80,000 - $99,999",Democrat,Strong Democrat,Hillary Clinton,85742,Arizona,Very liberal,Some college,No,White,Yes,Only now and then,Roman Catholic,Never,No,Not at all important,A few times a week,14
36456544,0.327921076575131,Definitely the rightful winner,Entirely legitimate,Joe Biden,1952,68,65 - 74,Female,Married,No,Retired,"$60,000 - $69,999",Independent,Independent,Other,52635,Iowa,Moderate; middle of the road,Professional or doctorate degree,No,White,Yes,Some of the time,Protestant,Once a week,Yes,Very important,Several times a day,14
202858348,1.25204437772009,Definitely the rightful winner,Entirely legitimate,Joe Biden,1996,24,18 - 24,Male,Never married,No,Student,"$70,000 - $79,999",Democrat,Not very strong Democrat,Hillary Clinton,10039,New York,Somewhat liberal,Bachelor's degree,No,Black or African American,Yes,Some of the time,Protestant,Seldom,No,Not too important,Seldom,14
208178200,1.15591571045879,Probably not the rightful winner,Not very legitimate,Donald Trump,1947,73,65 - 74,Male,Married,No,Retired,"$30,000 - $39,999",Republican,Strong Republican,Donald Trump,43123,Ohio,Slightly conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,14
208242676,1.26717333420401,Probably the rightful winner,Entirely legitimate,Donald Trump,1968,52,45 - 54,Female,Married,No,Full-time,"$60,000 - $69,999",Independent,Independent,Did not vote for President,50272,Iowa,Moderate; middle of the road,Some college,No,White,Yes,Only now and then,Nothing in particular,Seldom,No,Not at all important,Seldom,14
305204860,0.750389437699369,Probably the rightful winner,Somewhat legitimate,,1992,28,25 - 34,Female,Domestic / civil partnership,Yes,Homemaker,"$20,000 - $29,999",Independent,Not sure,Did not vote for President,68801,Nebraska,Moderate; middle of the road,Some college,No,White,Yes,Hardly at all,Protestant,A few times a year,Yes,Very important,Seldom,14
40741174,0.806086790442888,Definitely the rightful winner,Entirely legitimate,Joe Biden,1942,78,75 - 84,Male,Widowed,No,Retired,"$100,000 - $119,999",Democrat,Strong Democrat,Hillary Clinton,11218,New York,Somewhat liberal,Did not graduate from high school,Yes,Hispanic/Latino/Chicano/a,Yes,Most of the time,Roman Catholic,Seldom,No,Very important,A few times a week,14
203108599,0.142834157276835,Definitely the rightful winner,Entirely legitimate,Someone else,1979,41,35 - 44,Male,Divorced,No,Other,"Less than $10,000",Other,Lean Democrat,Jill Stein,60480,Illinois,Very liberal,Some college,No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,14
191339020,0.145693051055776,Definitely the rightful winner,Entirely legitimate,Someone else,1985,35,35 - 44,Male,Married,Yes,Full-time,"$80,000 - $99,999",Independent,Lean Republican,Evan McMullin,98109,Washington,Moderate; middle of the road,Professional or doctorate degree,No,White,Yes,Some of the time,Mormon,Once a week,No,Very important,Several times a day,14
209912284,0.859979484321662,Definitely the rightful winner,Entirely legitimate,Joe Biden,1942,78,75 - 84,Female,Married,No,Retired,"$30,000 - $39,999",Democrat,Not very strong Democrat,Hillary Clinton,22821,Virginia,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Nothing in particular,Never,No,Somewhat important,Several times a day,14
422670640,1.13891058178784,Definitely not the rightful winner,Not very legitimate,Donald Trump,1999,21,18 - 24,Male,Never married,No,Student,"$60,000 - $69,999",Republican,Strong Republican,Did not vote for President,16823,Pennsylvania,Very conservative,Some college,No,White,Yes,Most of the time,Roman Catholic,A few times a year,No,Somewhat important,A few times a month,14
137268379,0.888161441532997,Definitely the rightful winner,Entirely legitimate,Joe Biden,1938,82,75 - 84,Female,Married,No,Retired,"$200,000 - $249,999",Democrat,Strong Democrat,Hillary Clinton,94582,California,Somewhat liberal,Bachelor's degree,No,White,Yes,Most of the time,Protestant,Never,No,Not too important,Once a day,14
159036517,0.737328965333164,Definitely the rightful winner,Entirely legitimate,,1984,36,35 - 44,Female,Married,No,Part-time,"$120,000 - $149,999",Democrat,Strong Democrat,Did not vote for President,22554,Virginia,Somewhat liberal,Associate's degree,No,White,No,Most of the time,Atheist,Never,No,Not at all important,Never,14
205328056,0.763887369631257,Definitely the rightful winner,Entirely legitimate,Joe Biden,1952,68,65 - 74,Female,Married,No,Retired,"$60,000 - $69,999",Democrat,Strong Democrat,Hillary Clinton,89706,Nevada,Somewhat liberal,High school diploma or the equivalent (GED),Yes,White,Yes,Most of the time,Roman Catholic,Never,No,Very important,A few times a week,14
203078368,1.35912927730939,Probably not the rightful winner,Not very legitimate,Donald Trump,1987,33,25 - 34,Male,Married,No,Full-time,"$50,000 - $59,999",Independent,Independent,Did not vote for President,89129,Nevada,Very conservative,Bachelor's degree,Yes,White,Yes,Most of the time,Protestant,A few times a year,No,Very important,Several times a day,14
207225481,0.764058997159864,Definitely the rightful winner,Somewhat legitimate,Joe Biden,1967,53,45 - 54,Female,Never married,No,Temporarily laid off,"$10,000 - $19,999",Independent,Lean Democrat,Hillary Clinton,97368,Oregon,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Something else,Never,No,Not at all important,Never,14
126497536,1.1160325335133,Probably the rightful winner,Somewhat legitimate,Donald Trump,1943,77,75 - 84,Male,Married,No,Retired,Prefer not to say,Republican,Strong Republican,Donald Trump,33314,Florida,Somewhat conservative,Bachelor's degree,No,White,Yes,Some of the time,Something else,Once a week,Yes,Very important,Several times a day,14
338477560,0.691837836220098,Definitely the rightful winner,Entirely legitimate,Joe Biden,1996,24,18 - 24,Female,Never married,No,Full-time,"$70,000 - $79,999",Democrat,Strong Democrat,Did not vote for President,60005,Illinois,Somewhat liberal,Master's degree,No,White,Yes,Only now and then,Nothing in particular,Never,No,Not too important,Seldom,14
64167127,0.305444284909252,Definitely the rightful winner,Entirely legitimate,Joe Biden,1954,66,65 - 74,Male,Married,No,Part-time,"$80,000 - $99,999",Democrat,Not very strong Democrat,Other,21220,Maryland,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Nothing in particular,Never,No,Not at all important,Never,14
145231426,1.24353583677219,Definitely the rightful winner,Entirely legitimate,Joe Biden,1959,61,55 - 64,Female,Divorced,No,Permanently disabled,"$10,000 - $19,999",Democrat,Strong Democrat,Did not vote for President,78840,Texas,Slightly liberal,High school diploma or the equivalent (GED),Yes,Hispanic/Latino/Chicano/a,Yes,Most of the time,Roman Catholic,Seldom,No,Somewhat important,A few times a week,14
122504002,0.331497186714813,Definitely the rightful winner,Entirely legitimate,Joe Biden,1962,58,55 - 64,Female,Never married,No,Part-time,"$10,000 - $19,999",Democrat,Not very strong Democrat,Gary Johnson,93401,California,Moderate; middle of the road,Some college,No,White,Yes,Most of the time,Protestant,Seldom,Yes,Somewhat important,Seldom,14
408250414,0.824689377926897,Definitely the rightful winner,Entirely legitimate,Joe Biden,1948,72,65 - 74,Female,Married,No,Retired,Prefer not to say,Democrat,Not very strong Democrat,Hillary Clinton,62010,Illinois,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Protestant,Seldom,No,Not too important,Once a day,14
196839400,1.1160325335133,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1949,71,65 - 74,Male,Never married,No,Retired,"$60,000 - $69,999",Independent,Independent,Donald Trump,1915,Massachusetts,Moderate; middle of the road,Bachelor's degree,No,White,Yes,Most of the time,Nothing in particular,Never,No,Not too important,Once a day,14
